Depth,P wave first break ms,"P wave first break, s","Vertical travel time, s","Average velocity, m/s","Inverval velocity (11 m interval), m/s",,,,,offset (m)
249,164.800003051758,0.164800003051758,0.137375994842563,1812.54374379863,2134.68215464505,,,,,
250,165.300003051758,0.165300003051758,0.137960937451679,1812.10714146939,1930.9037745516,,,,,
251,165.5,0.1655,0.138294805390804,1814.96332628478,1933.76916259673,,,,,
252,165.600006103516,0.165600006103516,0.138544033447163,1818.91629491288,1968.3161277345,,,,,
253,165.899993896484,0.165899993896484,0.138959592903156,1820.67315191633,2002.58385183825,,,,,
254,166.600006103516,0.166600006103516,0.139709839821662,1818.0537628862,2004.49725963364,,,,,
255,167.300003051758,0.167300003051758,0.14046008985372,1815.46231577643,2152.25181557503,,,,,
256,167.5,0.1675,0.14079008325762,1818.30988430888,1975.91382553789,,,,,
257,167.699996948242,0.167699996948242,0.141119125728379,1821.15640720921,1915.06429091916,,,,,
258,168.300003051758,0.168300003051758,0.141784213077985,1819.66662154477,1949.00737689558,,,,,
259,168.800003051758,0.168800003051758,0.142364776918437,1819.27022685102,2164.75100210568,,,,,
260,168.899993896484,0.168899993896484,0.142607233915519,1823.18941936721,2206.77246779166,,,,,
261,169.600006103516,0.169600006103516,0.143355754846572,1820.64543051891,2020.77549182943,,,,,
262,169.899993896484,0.169899993896484,0.143765790255756,1822.40851271995,1989.50504624706,,,,,
263,170.100006103516,0.170100006103516,0.144090409809518,1825.2429176076,2175.28934732464,,,,,
264,170.199996948242,0.170199996948242,0.14432930875378,1829.15031104578,2137.89169857905,,,,,
265,170.800003051758,0.170800003051758,0.144991594639987,1827.69215455553,1995.79951808372,,,,,
266,171.5,0.1715,0.145738678507529,1825.18465738838,1869.29104001389,,,,,
267,171.800003051758,0.171800003051758,0.146145501519113,1826.94641452977,1901.72397725244,,,,,
268,171.899993896484,0.171899993896484,0.14638130266163,1830.83491625635,1904.13901745366,,,,,
269,172.5,0.1725,0.14704228233494,1829.40577178514,1846.51821225453,,,,,
270,173,0.173,0.147617757221789,1829.04824650829,1877.25815819734,,,,,
271,174.100006103516,0.174100006103516,0.148705376594037,1822.3954385982,2042.64739259452,,,,,
272,174.300003051758,0.174300003051758,0.149024176919444,1825.20719538704,2119.61867833918,,,,,
273,174.5,0.1745,0.149342127204277,1828.01735257579,2048.31224230021,,,,,
274,174.800003051758,0.174800003051758,0.14974490657114,1829.77842969123,1946.68264609254,,,,,
275,175.300003051758,0.175300003051758,0.15031851249427,1829.4486516455,1948.17289738562,,,,,
276,175.5,0.1755,0.150634286058913,1832.25218654442,2250.14783701108,,,,,
277,175.600006103516,0.175600006103516,0.150863331241125,1836.09892292031,1856.46863512718,,,,,
278,175.899993896484,0.175899993896484,0.151263370831456,1837.85405859928,1858.56166608253,,,,,
279,176.800003051758,0.176800003051758,0.152179226469143,1833.36455621012,1860.37267660826,,,,,
280,177.300003051758,0.177300003051758,0.152750771859976,1833.05129388591,1956.16099996989,,,,,
281,177.600006103516,0.177600006103516,0.153149529033942,1834.80812361965,1834.07023401293,,,,,
282,178.899993896484,0.178899993896484,0.154410747858907,1826.29774099455,1807.51837296081,,,,,
283,179.100006103516,0.179100006103516,0.154722632022865,1829.07953607057,1727.75272676683,,,,,
284,179.399993896484,0.179399993896484,0.155120173648396,1830.83858998076,1898.69591050968,,,,,
285,179.600006103516,0.179600006103516,0.155430566154553,1833.61617377504,1839.23417124184,,,,,
286,180.199996948242,0.180199996948242,0.156086639962569,1832.31569382611,1756.50956942941,,,,,
287,180.399993896484,0.180399993896484,0.156395778462461,1835.08789573171,2110.46525086647,,,,,
288,181,0.181,0.157051236100066,1833.79645491296,2113.23976149344,,,,,
289,181.300003051758,0.181300003051758,0.157445999281287,1835.54997471663,2004.69570925654,,,,,
290,182,0.182,0.158187817428376,1833.26380447284,2042.85801364504,,,,,
291,182.600006103516,0.182600006103516,0.15884263778441,1832.00181046452,2244.47382847706,,,,,
292,182.800003051758,0.182800003051758,0.159149039567758,1834.7581662639,2247.61510645615,,,,,
293,183,0.183,0.159454702743006,1837.51244058465,2085.16315285979,,,,,
294,183.600006103516,0.183600006103516,0.160108461872801,1836.25522699462,1945.2065118048,,,,,
295,183.699996948242,0.183699996948242,0.160325668963073,1840.00479716037,2050.87460061928,,,,,
296,183.800003051758,0.183800003051758,0.160542027177659,1843.75397024507,2169.21711846815,,,,,
297,184,0.184,0.160844938806363,1846.49888398136,2054.51379768947,,,,,
298,185,0.185,0.161847023895513,1841.24485472397,2094.73613278693,,,,,
299,185.699996948242,0.185699996948242,0.162586841623379,1839.01721083071,2176.20470508961,,,,,
300,186.100006103516,0.186100006103516,0.163063785952722,1839.7708494698,1828.73172868715,,,,,
301,186.399993896484,0.186399993896484,0.163452595872452,1841.51250944269,1746.24062377916,,,,,
302,186.899993896484,0.186899993896484,0.164016371201766,1841.27960999998,1695.50339568844,,,,,
303,187,0.187,0.164228573706264,1844.9895359984,1925.50957301274,,,,,
304,187.399993896484,0.187399993896484,0.164703617823256,1845.73966266013,2066.65723393226,,,,,
305,188.5,0.1885,0.165793939591909,1839.6329850822,2068.40422499091,,,,,
306,188.899993896484,0.188899993896484,0.16626861483335,1840.39543666556,2033.21987009691,,,,,
307,189.300003051758,0.189300003051758,0.166742892196152,1841.15794056668,1963.94367848349,,,,,
308,189.5,0.1895,0.167040454320454,1843.86471680163,1868.65322580614,,,,,
309,189.800003051758,0.189800003051758,0.167425573385865,1845.5961879124,1809.98042783638,,,,,
310,190.199996948242,0.190199996948242,0.167898430882943,1846.35436060822,2038.40578554353,,,,,
311,190.600006103516,0.190600006103516,0.168370903108709,1847.11250137562,2003.77698916309,,,,,
312,191.300003051758,0.191300003051758,0.169108166913404,1844.97298796792,1872.09770107314,,,,,
313,191.699996948242,0.191699996948242,0.169580021402337,1845.73629258715,1873.76319768554,,,,,
314,192.300003051758,0.192300003051758,0.170228539444621,1844.57906426526,1875.20221431765,,,,,
315,192.699996948242,0.192699996948242,0.170699734145142,1845.34558051603,1941.16593953921,,,,,
316,193.199996948242,0.193199996948242,0.171259190158889,1845.15645383366,1909.5180765462,,,,,
317,194,0.194,0.172084493755872,1842.11832850967,1943.15975898739,,,,,
318,194.199996948242,0.194199996948242,0.172377307991373,1844.79038282647,1818.52445589136,,,,,
319,194.5,0.1945,0.172758331593832,1846.51007599444,1912.21829162703,,,,,
320,194.699996948242,0.194699996948242,0.173049973982022,1849.17681659545,1913.4646515601,,,,,
321,195.199996948242,0.195199996948242,0.173607826562237,1848.99498113885,1821.17001886862,,,,,
322,195.800003051758,0.195800003051758,0.17425442416464,1847.87273863283,1948.20010405449,,,,,
323,196.600006103516,0.196600006103516,0.175078985118554,1844.88161032737,1916.54834245679,,,,,
324,196.899993896484,0.196899993896484,0.175458067916232,1846.59505172874,1917.98453171912,,,,,
325,197.300003051758,0.197300003051758,0.17592585629579,1847.36915222721,1855.88991690803,,,,,
326,198.100006103516,0.198100006103516,0.17675016568363,1844.4112837977,1888.17052669531,,,,,
327,198.5,0.1985,0.177217436711366,1845.19089130368,1888.92045384365,,,,,
328,198.800003051758,0.198800003051758,0.177595021407973,1846.89862024068,1827.40624676767,,,,,
329,199.100006103516,0.199100006103516,0.177972137979975,1848.60396539721,1890.60640441267,,,,,
330,199.5,0.1995,0.178438224604483,1849.37953026298,2029.50973499302,,,,,
331,199.899993896484,0.199899993896484,0.178903958377991,1850.15470312098,2279.18817075363,,,,,
332,200.5,0.2005,0.179548453343927,1849.08304035374,2378.54641693327,,,,,
333,201.5,0.2015,0.180551222076094,1844.35195824738,2032.97508408729,,,,,
334,201.600006103516,0.201600006103516,0.180747376138536,1847.88297974518,2111.82751481809,,,,,
335,201.600006103516,0.201600006103516,0.180853154661292,1852.33152624515,1865.10293944525,,,,,
336,201.800003051758,0.201800003051758,0.181137692842782,1854.94247346758,1748.64623872618,,,,,
337,202,0.202,0.181421685124939,1857.5508201675,1806.09049050065,,,,,
338,203.100006103516,0.203100006103516,0.182513920846669,1851.91353312691,2038.22799261882,,,,,
339,203.199996948242,0.203199996948242,0.182707373187317,1855.42594196485,2003.34841151346,,,,,
340,204.300003051758,0.204300003051758,0.183799858961767,1849.83819857406,1902.17566497501,,,,,
341,205.100006103516,0.205100006103516,0.184622667959458,1847.0104660977,1936.88845412305,,,,,
