Depth (m),First-break time (s)
0.0,0.19406322580645163
1.021,0.19400184479544952
2.042,0.19394189163835618
3.063,0.19388389782235924
4.084,0.19382778774531464
5.105,0.19377354468003902
6.126,0.19372116167254672
7.147,0.1936706345276033
8.168,0.19362196005519947
9.189,0.19357513548612346
10.21,0.19353015823826814
11.231,0.1934870258104817
12.252,0.19344573572956605
13.273,0.19340628552180789
14.294,0.19336867269677946
15.315,0.19333289473768694
16.336,0.19329894909540343
17.357,0.19326683318467336
18.378,0.19323654438164492
19.399,0.19320808002224507
20.42,0.19318143740110313
21.441,0.19315661377084278
22.462,0.19313360634162738
23.483,0.19311241228088252
24.504,0.19309302871314687
25.525,0.19307545272001628
26.546,0.19305968134015794
27.567,0.193045711569378
28.588,0.19303354036073025
29.609,0.19302316462465796
30.63,0.19301458122916165
31.651,0.19300778699998924
32.672,0.19300277872084323
33.693,0.1929995531336042
34.714,0.19299810693856714
35.735,0.19299843679468925
36.756,0.1930005393198484
37.777,0.19300441109111063
38.798,0.1930100486450061
39.819,0.19301744847781288
40.84,0.19302660704584804
41.861,0.19303752076576516
42.882,0.1930501860148584
43.903,0.19306459913137267
44.924,0.19308075641481912
45.945,0.19309865412629634
46.966,0.19311828848881685
47.987,0.19313965568763813
49.008,0.1931627518705992
50.029,0.19318757314846083
51.05,0.19321411559525117
52.071,0.1932423752486152
53.092,0.19327234811016822
54.113,0.19330403014585393
55.134,0.19333741728630563
56.155,0.19337250542721202
57.176,0.19340929042968594
58.197,0.19344776812063696
59.218,0.19348793429314762
60.239,0.1935297847068522
61.26,0.19357331508831951
62.281,0.19361852113143818
63.302,0.1936653984978052
64.323,0.1937139428171171
65.344,0.19376414968756392
66.365,0.19381601467622595
67.386,0.19386953331947268
68.407,0.1939247011233644
69.428,0.1939815135640561
70.449,0.19403996608820345
71.47,0.1941000541133708
72.491,0.19416177302844145
73.512,0.19422511819402946
74.533,0.19429008494289354
75.554,0.19435666858035233
76.575,0.19442486438470155
77.596,0.19449466760763234
78.617,0.19456607347465113
79.638,0.19463907718550075
80.659,0.1947136739145827
81.68,0.19478985881138045
82.701,0.1948676270008838
83.722,0.19503517611515686
84.743,0.1952276240776226
85.764,0.1953355510750876
86.785,0.19545763198146682
87.806,0.19560352033148035
88.827,0.19573003414023363
89.848,0.1958360039819536
90.869,0.19593872842856644
91.89,0.19600414153550436
92.911,0.19604579903141578
93.932,0.19609567135752795
94.953,0.1961343704551191
95.974,0.19617000857511918
96.995,0.19623030146594672
98.016,0.19630788341008035
99.037,0.1963660944338206
100.058,0.19642980439157776
